transaction_id,serial_number,assessed_value,sales_amount,sales_ratio,address_id,property_type_id,date_recorded_id,property type,address,town_id,longitude,latitude,town,month,day,quarter,year,full_date,rate_x,lower_bound,upper_bound,census_units,total_assisted_units,rate_y
717309,120005,156860.0,199900.0,0.784692346,579003,1,4877,Single Family,330 NOTTING HILL GATE,94,-73.1569912,41.7927153,Torrington,10.0,1.0,4.0,2012,2012-10-01,158900.0,1.4,1.5,,,
255055,20132,121520.0,253000.0,0.480316206,191564,11,2353,,1 MAPLE TER,144,-73.0024,41.32924,Woodbridge,6.0,13.0,2.0,2003,2003-06-13,,,,,,
595877,900072,180010.0,240000.0,0.750041667,489542,1,4240,Single Family,30 BUTTERNUT DRIVE,25,,,East Hartford,11.0,2.0,4.0,2009,2009-11-02,,,,,,
1029390,19138,285200.0,430000.0,0.6633,615885,1,6593,Single Family,467 BARN HILL RD,61,-73.1887699,41.3596532,Monroe,3.0,9.0,1.0,2020,2020-03-09,,,,,,
321525,32347,81970.0,130000.0,0.630538462,286376,11,902,,81 ALBERTA ST,97,-73.057665,41.5443603,Waterbury,7.0,2.0,3.0,2004,2004-07-02,,,,,,
395877,50417,72920.0,60000.0,1.215333333,342773,11,3206,,356 EAST RD,10,-72.9359422,41.663714,Bristol,1.0,10.0,1.0,2006,2006-01-10,,,,,,
64147,200216,160550.0,227900.0,0.7044,62442,1,30,Single Family,2646 ALBANY AVENUE,111,,,West Hartford,11.0,23.0,4.0,2020,2020-11-23,,,,,,
220825,20098,62230.0,216100.0,0.287968533,203384,11,2342,,16 STEEPLES RD S,105,-73.330733,41.6407488,Washington,7.0,30.0,3.0,2003,2003-07-30,,,,,,
558255,800017,221410.0,52338.0,4.230387099,461118,11,3892,,37 ORLANDO ST,169,,,West Haven,10.0,8.0,4.0,2008,2008-10-08,,,,,,
894893,160152,300860.0,485000.0,0.620329897,699882,1,1877,Single Family,87 BROADWAY RD,103,,,Trumbull,1.0,18.0,1.0,2017,2017-01-18,,,,,,
55799,2000528,340390.0,634000.0,0.5368,54269,1,462,Single Family,628 WIRE MILL ROAD,86,,,Stamford,12.0,8.0,4.0,2020,2020-12-08,,,,,,
139247,10125,97960.0,172000.0,0.569534884,132449,11,623,,18 PETEMONT DR,33,-72.8061092,41.7140417,Farmington,12.0,3.0,4.0,2001,2001-12-03,,,,,,
681635,124589,124900.0,170000.0,0.734705882,552856,1,5002,Single Family,73 ARNOTT ROAD,54,,,Manchester,12.0,17.0,4.0,2012,2012-12-17,,,,,,
731090,130005,129430.0,80000.0,1.617875,589020,1,5172,Single Family,237 THOMPSON HILL RD,74,-72.5875782,41.6305204,Portland,10.0,16.0,4.0,2013,2013-10-16,,,,,,
477820,60693,69440.0,145000.0,0.478896552,356739,4,1237,Two Family,112 HART ST,55,-72.7878655,41.6596243,New Britain,5.0,2.0,2.0,2007,2007-05-02,,,,,,
209422,20042,44100.0,89500.0,0.49273743,193525,11,2110,,466 DOWD AVE,14,,,Canton,11.0,18.0,4.0,2002,2002-11-18,,,,,,
779996,140159,165000.0,231000.0,0.714285714,623803,1,1771,Single Family,12 FERNANDO DR,96,-71.8477752,41.3789078,Stonington,2.0,26.0,1.0,2015,2015-02-26,,,,,,
1094731,220771,87070.0,240000.0,0.3627,823073,1,6680,Single Family,10 MCGRATH COURT,92,-73.135840014,41.174854008,Stratford,8.0,21.0,3.0,2023,2023-08-21,,,,,,
914388,171058,40500.0,90000.0,0.45,712159,5,6123,Condo,39 HORTON HILL ROAD #8H,64,,,Naugatuck,8.0,15.0,3.0,2018,2018-08-15,,,,,,
52563,201227,126210.0,335000.0,0.3767,51184,1,86,Single Family,99 BROOKLAWN CIR,59,-72.9808313,41.3255744,New Haven,7.0,26.0,3.0,2021,2021-07-26,,,,,,
216597,20427,307360.0,574900.0,0.53463211,166629,11,2536,,515 CHURCH HL RD,103,,,Trumbull,6.0,28.0,2.0,2003,2003-06-28,,,,,,
473577,60230,94000.0,195000.0,0.482051282,399020,1,3481,Single Family,77 RICCIARDONE AVE,94,-73.1082048,41.7996284,Torrington,1.0,11.0,1.0,2007,2007-01-11,,,,,,
